alphanumeric ID,Serial number ,Site,Collection Date,Sampling Method,Order,Taxa,Genus,Species,Count,Taxa Level,Host,Who ID,ID date,Deterioration,Confidence,Notes
SLNS_bv_hym_29Sep22,160.1,SLNS,9/29/2022,blue vane,hymenoptera,chrysididae,,,1,family,,SA,4/1/2024,intact,high,
SLNS_bv_hym_29Sep22,160.2,SLNS,9/29/2022,blue vane,hymenoptera,encyrtidae,,,1,family,,SA,4/1/2024,intact,high,
NSCN_sn_hym_27Jul22,161.1,NSCN,7/27/2022,sweep net,hymenoptera,chrysididae,,,1,family,,SA,4/1/2024,intact,high,
NSCN_sn_hym_27Jul22,161.2,NSCN,7/27/2022,sweep net,hymenoptera,formicidae,,,1,family,,SA,4/1/2024,intact,high,
SLNS_sn_hym_29Sep22,162.1,SLNS,9/29/2022,sweep net,hymenoptera,formicidae,,,1,family,,AF,4/4/2024,intact,high,
SLNS_sn_hym_29Sep22,162.2,SLNS,9/29/2022,sweep net,hymenoptera,trichogrammatidae,,,1,family,,AF,4/4/2024,intact,low,https://v3.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=24357
SLNS_sn_hym_29Sep22,162.3,SLNS,9/29/2022,sweep net,hymenoptera,eulophidae,,,1,family,,AF,4/4/2024,intact,low,
SLNS_sn_hym_29Sep22,162.4,SLNS,9/29/2022,sweep net,hymenoptera,megaspilidae,,,1,family,,AF,4/4/2024,intact,high,
SLNS_sn_hym_29Sep22,162.5,SLNS,9/29/2022,sweep net,hymenoptera,eupelmidae,,,1,family,,AF,4/4/2024,intact,very low,
SLNS_sn_hym_29Sep22,162.6,SLNS,9/29/2022,sweep net,hymenoptera,braconidae,,,2,family,,AF,4/4/2024,intact,high,
SAS_sn_hym_28Jul22,163.1,SAS,7/28/2022,sweep net,hymenoptera,formicidae,,,10,family,,CB,4/16/2024,intact,high,
SAS_sn_hym_28Jul22,163.2,SAS,7/28/2022,sweep net,hymenoptera,braconidae,,,3,family,,CB,4/16/2024,intact,high,
SAS_sn_hym_28Jul22,163.3,SAS,7/28/2022,sweep net,hymenoptera,ceraphronidae,,,3,family,,CB,4/16/2024,intact,low,
SAS_sn_hym_28Jul22,163.4,SAS,7/28/2022,sweep net,hymenoptera,eulophidae,,,2,family,,CB,4/16/2024,intact,high,one with antler like antenna!
SAS_sn_hym_28Jul22,163.5,SAS,7/28/2022,sweep net,hymenoptera,chrysolampidae,,,4,family,,CB,4/18/2024,intact,high,
SAS_sn_hym_28Jul22,163.6,SAS,7/28/2022,sweep net,hymenoptera,heloridae,,,1,family,,CB,4/18/2024,intact,low,"key brought me to 3 options, none seemed to be an exact match"
NSCN_bv_hym_11Aug22,164.1,NSCN,8/11/2022,blue vane,hymenoptera,chrysididae,,,3,family,,SA,4/18/2024,intact,high,
SAS_sn_hym_28Jul22,163.7,SAS,7/28/2022,sweep net,hymenoptera,eupelmidae,,,1,family,,CB,4/23/2024,intact,high,
NSCN_bv_hym_11Aug22,164.2,NSCN,8/11/2022,blue vane,hymenoptera,halictidae,,,3,family,,SA,4/18/2024,intact,high,
NSCN_bv_hym_11Aug22,164.3,NSCN,8/11/2022,blue vane,hymenoptera,vespidae,,,1,family,,SA,4/18/2024,intact,high,
NSCN_bv_hym_11Aug22,164.4,NSCN,8/11/2022,blue vane,hymenoptera,pompilidae,,,1,family,,SA,4/18/2024,intact,high,
NSCN_bv_hym_11Aug22,164.5,NSCN,8/11/2022,blue vane,hymenoptera,chalcidoidea,,,2,family,,SA,4/18/2024,intact,high,
